General Entertainment
Fast Food Restaurant
Park
Shrine
Food & Drink Shop
Coffee Shop
Concert Hall
Café
Ramen /  Noodle House
Stadium
Gym / Fitness Center
Theater
Burger Joint
Plaza
Temple
Playground
Japanese Restaurant
Sushi Restaurant
Food
BBQ Joint
Asian Restaurant
Food Truck
Chinese Restaurant
Bar
Dessert Shop
Indian Restaurant
Breakfast Spot
Sandwich Place
History Museum
French Restaurant
Diner
Italian Restaurant
Restaurant
Spanish Restaurant
Steakhouse
Korean Restaurant
Seafood Restaurant
Thai Restaurant
Athletic & Sport
Pool
Spa / Massage
Eastern European Restaurant
Cuban Restaurant
Salad Place
African Restaurant
Campground
Malaysian Restaurant
Planetarium
Australian Restaurant
Dim Sum Restaurant
Fair
Rental Car Location
Winery
Bike Rental / Bike Share
Board Shop
Photography Lab
Pool Hall
Travel Lounge
Taco Place
Middle Eastern Restaurant
Brazilian Restaurant
Public Art
Tapas Restaurant
College Theater
Scandinavian Restaurant
Harbor / Marina
Bridal Shop
Design Studio
College Stadium
Aquarium
Wings Joint
Portuguese Restaurant
Museum
Burrito Place
Comedy Club
Caribbean Restaurant
Soup Place
Garden Center
Vegetarian / Vegan Restaurant
Racetrack
Moving Target
Elementary School
Internet Cafe
Art Museum
Science Museum
Gastropub
Beer Garden
German Restaurant
Tea Room
Brewery
Nightlife Spot
Turkish Restaurant
Pizza Place
Hot Dog Joint
Outdoors & Recreation
Mediterranean Restaurant
Sculpture Garden
Vietnamese Restaurant
Gaming Cafe
Video Game Store
Dumpling Restaurant
Bowling Alley
Snack Place
Fried Chicken Joint
Zoo
Garden
Art Gallery
Casino
Movie Theater
American Restaurant
Mexican Restaurant
Arcade
Historic Site
