exp_id,data,label,pinf,c,Δ,δ,βd,βᵢ,βₑ,γₑ,γₐ,αᵥ,αₑ,lockdown,βₗ,nodes_imm_strategy,hes_imm_strategy,nodes_precomputed,hes_precomputed
plockdown415,adi,Direct/Indirect-high,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,,,
plockdown415,lockdown-social,lockdown-social,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/social_venues.data
plockdown415,lockdown-work,lockdown-work,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/work_venues.data
plockdown415,lockdown-transp,lockdown-transp,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/transportation_venues.data
plockdown415,lockdown-all,lockdown-all,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/all_venues.data
plockdown415,sanification-social,sanification-social,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/social_venues.data
plockdown415,sanification-work,sanification-work,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/work_venues.data
plockdown415,sanification-transp,sanification-transp,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/transportation_venues.data
plockdown415,sanification-all,sanification-all,20,5,4,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/all_venues.data
plockdown1215,adi,Direct/Indirect-high,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,,,
plockdown1215,lockdown-social,lockdown-social,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/social_venues.data
plockdown1215,lockdown-work,lockdown-work,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/work_venues.data
plockdown1215,lockdown-transp,lockdown-transp,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/transportation_venues.data
plockdown1215,lockdown-all,lockdown-all,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,true,0.0,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/all_venues.data
plockdown1215,sanification-social,sanification-social,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/social_venues.data
plockdown1215,sanification-work,sanification-work,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/work_venues.data
plockdown1215,sanification-transp,sanification-transp,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/transportation_venues.data
plockdown1215,sanification-all,sanification-all,20,5,12,15,0.8,0.2,0.26,0.1,0.06,0.0,0.0,false,0.4,,lockdown,,/home/alessia/github/03_code/TVHEpidemicDynamics.jl/src/experiments/journal/precomputed_data/lockdown/all_venues.data
